stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
31,0.5,20.0,33.731274100000064,,33.716097999999874,33.731274100000064,34.23166349999974,34.23166349999974,34.23166349999974,,34.316508599999906,left,-20.0,1,1,0.06923259999985021,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
32,0.5,20.0,34.33226620000005,,34.31664959999989,34.33226620000005,34.831336700000065,34.831336700000065,34.831336700000065,,35.048895699999775,right,20.0,0,0,0.20591600000034305,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
33,0.5,20.0,35.06429789999993,,35.048990799999956,35.06429789999993,35.56454070000018,35.56454070000018,35.56454070000018,,35.699442999999974,left,-20.0,0,0,0.12954209999998056,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
34,0.5,20.0,35.714607200000046,,35.69957410000006,35.714607200000046,36.21341470000016,36.21341470000016,36.23050950000015,,36.48311819999981,left,-20.0,1,1,0.2538423999999395,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
35,0.5,20.0,36.4972757999999,,36.48325650000015,36.4972757999999,36.99734579999995,36.99734579999995,36.99734579999995,37.297489699999915,38.265308900000036,right,20.0,1,1,1.2627896000003602,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
36,0.5,20.0,38.28063829999974,,38.26543390000006,38.28063829999974,38.77948579999975,38.77948579999975,38.79690419999997,39.08026459999974,39.230836499999896,left,-20.0,1,1,0.4462418000002799,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
37,0.5,19.5,39.24600359999977,,39.23093370000015,39.24600359999977,39.7300694999999,39.7300694999999,39.747161100000085,40.02966839999999,40.030368700000054,right,19.5,0,0,0.2875026000001526,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
38,0.5,20.0,40.04637339999999,,40.03049899999996,40.04637339999999,40.52928819999988,40.52928819999988,40.5463221,,40.796086899999864,left,-20.0,1,1,0.25187770000002274,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
39,0.5,20.0,40.81241390000014,,40.79613759999984,40.81241390000014,41.29755269999987,41.29755269999987,41.31286259999979,,41.49705129999984,left,-20.0,0,0,0.18416590000015276,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
40,0.5,20.0,41.512520700000096,,41.49714839999979,41.512520700000096,41.996101199999885,41.996101199999885,42.013312199999746,,42.23056559999986,right,20.0,1,1,0.22906659999989643,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
41,0.5,20.0,42.24604700000009,,42.23066719999997,42.24604700000009,42.746220600000015,42.746220600000015,42.746220600000015,43.04613299999983,43.06382549999989,left,-20.0,1,1,0.31332549999979165,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
42,0.5,20.0,43.07937510000011,,43.06395440000006,43.07937510000011,43.579348499999924,43.579348499999924,43.579348499999924,43.879171399999905,44.463869799999884,right,20.0,0,0,0.8794984999999542,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
43,0.5,20.0,44.47926419999976,,44.463968999999906,44.47926419999976,44.979290899999796,44.979290899999796,44.979290899999796,,45.19676359999994,left,-20.0,1,1,0.2029038999999102,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
44,0.5,20.0,45.2121118,,45.196895199999744,45.2121118,45.71331479999981,45.71331479999981,45.71331479999981,,45.99655269999994,right,20.0,0,0,0.2718968999997742,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
45,0.5,20.0,46.011767299999974,,45.99665120000009,46.011767299999974,46.51206689999981,46.51206689999981,46.51206689999981,46.811904199999844,46.812906399999974,right,20.0,0,0,0.2902334999998857,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
46,0.5,20.0,46.82879520000006,,46.81306719999975,46.82879520000006,47.32823730000018,47.32823730000018,47.32823730000018,47.62854669999979,47.962673800000175,left,-20.0,0,0,0.6202745999999024,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
47,0.5,20.0,47.97837100000015,,47.96282960000008,47.97837100000015,48.461627600000156,48.461627600000156,48.47815790000004,48.761171300000115,48.946553100000074,left,-20.0,1,1,0.47146539999994275,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
48,0.5,20.0,48.96146719999979,,48.94668079999974,48.96146719999979,49.461686199999804,49.461686199999804,49.461686199999804,,49.56213829999979,left,-20.0,1,1,0.08611049999990428,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
49,0.5,20.0,49.57805069999995,,49.56223599999976,49.57805069999995,50.06126959999983,50.06126959999983,50.077914500000134,,50.22949849999986,left,-20.0,0,0,0.1650377999999364,5,001,2024-09-06_11h48.08.228,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 11h48.25.792086 +0530,
